Row Labels,STATE_ABBREVIATION,STUDYYEAR,Average of MCBTO5,Average of MC6TO11,Average of MC12TO17,Average of MC18TO23,Average of MC24TO29,Average of MC30TO35,Average of MC36TO41,Average of MC42TO47,Average of MC48TO53,Average of MC54TOSA,Average of MCSA
Iowa,IA,2014,,,,,,,,,,,
Iowa,IA,2015,,,,,,,,,,,
Iowa,IA,2016,,,,,,,,,,,
Iowa,IA,2017,154.7575758,154.7575758,154.7575758,154.7575758,154.7575758,154.7575758,132.0740404,132.0740404,132.0740404,132.0740404,105.9979798
Iowa,IA,2018,,,,,,,,,,,
Kansas,KS,2008,99.50095238,99.50095238,89.18095238,84.28190476,84.28190476,80.10285714,80.10285714,80.10285714,80.10285714,80.10285714,69.79428571
Kansas,KS,2009,94.02095238,94.02095238,86.96,82.42285714,82.42285714,77.06857143,77.06857143,77.06857143,77.06857143,77.06857143,68.3447619
Kansas,KS,2010,88.54095238,88.54095238,84.73904762,80.56380952,80.56380952,74.03428571,74.03428571,74.03428571,74.03428571,74.03428571,66.8952381
Kansas,KS,2011,90.72761905,90.72761905,82.01333333,81.52571429,81.52571429,74.79047619,74.79047619,74.79047619,74.79047619,74.79047619,69.53333333
Kansas,KS,2012,92.91428571,92.91428571,79.28761905,82.48761905,82.48761905,75.54666667,75.54666667,75.54666667,75.54666667,75.54666667,72.17142857
Kansas,KS,2013,104.1295238,104.1295238,97.64952381,94.86857143,94.86857143,85.17714286,85.17714286,85.17714286,85.17714286,85.17714286,73.76
Kansas,KS,2014,106.4247619,106.4247619,102.0361905,99.67428571,99.67428571,88.59714286,88.59714286,88.59714286,88.59714286,88.59714286,76.81714286
Kansas,KS,2015,108.72,108.72,106.4228571,104.48,104.48,92.01714286,92.01714286,92.01714286,92.01714286,92.01714286,79.87428571
Kansas,KS,2016,111.0152381,111.0152381,110.8095238,109.2857143,109.2857143,95.43714286,95.43714286,95.43714286,95.43714286,95.43714286,82.93142857
Kansas,KS,2017,113.3104762,113.3104762,115.1961905,114.0914286,114.0914286,98.85714286,98.85714286,98.85714286,98.85714286,98.85714286,85.98857143
Kansas,KS,2018,115.8352381,115.8352381,119.5828571,118.8971429,118.8971429,102.2771429,102.2771429,102.2771429,102.2771429,102.2771429,89.04571429
Kentucky,KY,2008,95.52083333,95.52083333,95.52083333,95.52083333,87.12775,87.12775,87.12775,87.12775,87.12775,87.12775,84.54508333
Kentucky,KY,2009,100.4041667,100.4041667,100.4041667,100.4041667,91.58616667,91.58616667,91.58616667,91.58616667,91.58616667,91.58616667,85.93833333
Kentucky,KY,2010,105.285,105.285,105.285,105.285,96.04575,96.04575,96.04575,96.04575,96.04575,96.04575,87.33133333
Kentucky,KY,2011,110.168,110.168,110.168,110.168,100.5060833,100.5060833,100.5060833,100.5060833,100.5060833,100.5060833,88.72425
Kentucky,KY,2012,112.2014167,112.2014167,112.2014167,112.2014167,102.8560833,102.8560833,102.8560833,102.8560833,102.8560833,102.8560833,92.77208333
Kentucky,KY,2013,114.2344167,114.2344167,114.2344167,114.2344167,105.2075833,105.2075833,105.2075833,105.2075833,105.2075833,105.2075833,96.81916667
Kentucky,KY,2014,116.1565833,116.1565833,112.1715833,112.1715833,104.4006667,104.4006667,104.4006667,104.3798333,104.3798333,104.4006667,96.05575
Kentucky,KY,2015,118.0708333,118.0708333,110.1008333,110.1008333,103.5929167,103.5929167,103.5929167,103.55125,103.55125,103.5929167,95.29166667
Kentucky,KY,2016,118.5770833,118.5770833,113.90875,113.90875,106.2560833,106.2560833,106.2560833,106.23525,106.23525,106.2560833,95.625
Kentucky,KY,2017,119.0833333,119.0833333,117.7166667,117.7166667,108.9166667,108.9166667,108.9166667,108.9166667,108.9166667,108.9166667,95.95833333
Kentucky,KY,2018,119.5895833,119.5895833,121.5245833,121.5245833,111.5798333,111.5798333,111.5798333,111.6006667,111.6006667,111.5798333,96.29166667
Louisiana,LA,2008,99.3240625,99.3240625,96.37890625,96.37890625,96.37890625,96.37890625,92.24015625,92.24015625,91.76515625,91.76515625,90.77109375
Louisiana,LA,2009,102.341875,102.341875,99,99,99,99,95.69,95.69,95.1153125,95.1153125,93.87265625
Louisiana,LA,2010,107.71875,107.71875,103.545,103.545,103.545,103.545,99.13421875,99.13421875,99.2253125,99.2253125,97.1484375
Louisiana,LA,2011,110.624375,110.624375,106.2360938,106.2360938,106.2360938,106.2360938,102.4809375,102.4809375,102.0271875,102.0271875,100.9545313
Louisiana,LA,2012,113.52875,113.52875,108.9257813,108.9257813,108.9257813,108.9257813,105.8265625,105.8265625,104.8276563,104.8276563,104.7582813
Louisiana,LA,2013,114.5376563,114.5376563,111.171875,111.171875,111.171875,111.171875,107.5165625,107.5165625,106.9914063,106.9914063,105.7579688
Louisiana,LA,2014,115.5445313,115.5445313,113.4154688,113.4154688,113.4154688,113.4154688,109.2040625,109.2040625,109.1520313,109.1520313,106.7548438
Louisiana,LA,2015,116.5534375,116.5534375,115.6615625,115.6615625,115.6615625,115.6615625,110.8940625,110.8940625,111.3157813,111.3157813,107.7545313
Louisiana,LA,2016,117.5603125,117.5603125,119.8520313,119.8520313,119.8520313,119.8520313,112.5815625,112.5815625,113.4764063,113.4764063,108.7514063
Louisiana,LA,2017,,,,,,,,,,,
Louisiana,LA,2018,,,,,,,,,,,
Maine,ME,2008,,,,,,,,,,,
Maine,ME,2009,,,,,,,,,,,
Maine,ME,2010,,,,,,,,,,,
Maine,ME,2011,,,,,,,,,,,
Maine,ME,2012,163.03125,163.03125,160.255,160.255,160.255,160.255,142.206875,142.206875,142.206875,142.206875,120.519375
Maine,ME,2013,166.375,166.375,160.878125,160.878125,160.878125,160.878125,145.434375,145.434375,145.434375,145.434375,110.10625
Maine,ME,2014,169.71875,169.71875,161.501875,161.501875,161.501875,161.501875,148.66375,148.66375,148.66375,148.66375,100.75625
Maine,ME,2015,173.0625,173.0625,162.125,162.125,162.125,162.125,151.89125,151.89125,151.89125,151.89125,91.405625
Maine,ME,2016,176.313125,176.313125,165.095,165.095,165.095,165.095,155.291875,155.291875,155.291875,155.291875,94.70875
Maine,ME,2017,179.56625,179.56625,168.06125,168.06125,168.06125,168.06125,158.693125,158.693125,158.693125,158.693125,98.009375
Maine,ME,2018,182.816875,182.816875,171.03125,171.03125,171.03125,171.03125,162.09375,162.09375,162.09375,162.09375,101.3125
Maryland,MD,2008,,,,,,,,,,,
Maryland,MD,2009,,,,,,,,,,,
Maryland,MD,2010,,,,,,,,,,,
Maryland,MD,2011,,,,,,,,,,,
Maryland,MD,2012,,,,,,,,,,,
Maryland,MD,2013,214.69125,214.69125,214.69125,214.69125,159.56875,159.56875,159.56875,159.56875,159.56875,159.56875,151.0195833
Maryland,MD,2014,217.4583333,217.4583333,217.4583333,217.4583333,160.36875,160.36875,160.36875,160.36875,160.36875,160.36875,150.7916667
Maryland,MD,2015,220.2254167,220.2254167,220.2254167,220.2254167,161.16875,161.16875,161.16875,161.16875,161.16875,161.16875,150.56375
Maryland,MD,2016,222.9941667,222.9941667,222.9941667,222.9941667,161.96625,161.96625,161.96625,161.96625,161.96625,161.96625,150.3325
Maryland,MD,2017,225.7591667,225.7591667,225.7591667,225.7591667,162.7641667,162.7641667,162.7641667,162.7641667,162.7641667,162.7641667,150.1045833
Maryland,MD,2018,228.5266667,228.5266667,228.5266667,228.5266667,163.5620833,163.5620833,163.5620833,163.5620833,163.5620833,163.5620833,149.8741667
Massachusetts,MA,2008,284.2285714,284.2285714,284.2285714,259.7464286,259.7464286,259.7464286,208.3642857,208.3642857,208.3642857,208.3642857,86.43571429
Massachusetts,MA,2009,284.3078571,284.3078571,284.3078571,261.7585714,261.7585714,261.7585714,208.8657143,208.8657143,208.8657143,208.8657143,87.79928571
Massachusetts,MA,2010,284.385,284.385,284.385,263.7735714,263.7735714,263.7735714,209.37,209.37,209.37,209.37,89.165
Massachusetts,MA,2011,284.4642857,284.4642857,284.4642857,265.7857143,265.7857143,265.7857143,209.8714286,209.8714286,209.8714286,209.8714286,90.52857143
Massachusetts,MA,2012,290.6342857,290.6342857,290.6342857,270.7564286,270.7564286,270.7564286,215.0807143,215.0807143,215.0807143,215.0807143,119.8792857
Massachusetts,MA,2013,296.8035714,296.8035714,296.8035714,275.7271429,275.7271429,275.7271429,220.2878571,220.2878571,220.2878571,220.2878571,149.2285714
Massachusetts,MA,2014,302.9735714,302.9735714,302.9735714,280.6971429,280.6971429,280.6971429,225.4964286,225.4964286,225.4964286,225.4964286,178.5792857
Massachusetts,MA,2015,309.1428571,309.1428571,309.1428571,285.6678571,285.6678571,285.6678571,230.7035714,230.7035714,230.7035714,230.7035714,207.9285714
Massachusetts,MA,2016,318.8121429,318.8121429,318.8121429,293.8878571,293.8878571,293.8878571,234.6785714,234.6785714,234.6785714,234.6785714,205.0028571
Massachusetts,MA,2017,328.4735714,328.4735714,328.4735714,302.1121429,302.1121429,302.1121429,238.6535714,238.6535714,238.6535714,238.6535714,202.0757143
Massachusetts,MA,2018,338.1428571,338.1428571,338.1428571,310.3321429,310.3321429,310.3321429,242.6285714,242.6285714,242.6285714,242.6285714,199.15
Michigan,MI,2008,135.0061446,135.0061446,135.0061446,135.0061446,135.0061446,119.0621687,114.8145783,114.8145783,113.9645783,113.9645783,116.6837349
Michigan,MI,2009,118.9343373,118.9343373,118.9343373,118.9343373,118.9343373,118.9343373,110.4387952,110.4387952,108.74,108.74,114.1771084
Michigan,MI,2010,127.743253,127.743253,127.743253,127.743253,127.743253,127.743253,119.2274699,119.2274699,118.3778313,118.3778313,121.0968675
Michigan,MI,2011,136.5510843,136.5510843,136.5510843,136.5510843,136.5510843,136.5510843,128.016747,128.016747,128.016747,128.016747,128.016747
